surah,ayah,page,word_count
5,18,111,30
5,19,111,28
5,20,111,22
5,21,111,14
5,22,111,17
5,23,111,21
5,24,112,16
5,25,112,13
5,26,112,14
5,27,112,24
5,28,112,16
5,29,112,13
5,30,112,9
5,31,112,25
5,32,113,40
5,33,113,34
5,34,113,13
5,35,113,13
5,36,113,24
5,37,114,12
5,38,114,13
5,39,114,14
5,40,114,19
5,41,114,67
5,42,115,26
5,43,115,15
5,44,115,41
5,45,115,31
5,46,116,26
5,47,116,16
5,48,116,51
5,49,116,33
5,50,116,10
5,51,117,22
5,52,117,28
5,53,117,15
5,54,117,37
5,55,117,13
5,56,117,11
5,57,117,23
5,58,118,12
5,59,118,20
5,60,118,27
5,61,118,16
5,62,118,13
5,63,118,13
5,64,118,47
5,65,119,12
5,66,119,24
5,67,119,24
5,68,119,30
5,69,119,20
5,70,119,19
5,71,120,19
5,72,120,33
5,73,120,25
5,74,120,8
5,75,120,25
5,76,120,16
5,77,121,23
5,78,121,17
5,79,121,10
5,80,121,19
5,81,121,15
5,82,121,26
5,83,122,21
5,84,122,16
5,85,122,14
5,86,122,7
5,87,122,17
5,88,122,12
5,89,122,45
5,90,123,15
5,91,123,20
5,92,123,13
5,93,123,24
5,94,123,23
5,95,123,50
5,96,124,20
5,97,124,27
5,98,124,9
5,99,124,11
5,100,124,15
5,101,124,25
5,102,124,9
5,103,124,21
5,104,125,24
5,105,125,19
5,106,125,51
5,107,125,26
5,108,125,22
5,109,126,15
5,110,126,63
5,111,126,13
5,112,126,21
5,113,126,15
5,114,127,22
5,115,127,17
5,116,127,44
5,117,127,29
5,118,127,11
5,119,127,24
5,120,127,11
6,1,128,14
6,2,128,14
6,3,128,12
6,4,128,11
6,5,128,12
6,6,128,31
6,7,128,16
6,8,128,13
6,9,129,9
6,10,129,13
6,11,129,10
6,12,129,25
6,13,129,9
6,14,129,24
6,15,129,9
6,16,129,9
6,17,129,17
6,18,129,7
6,19,130,37
6,20,130,13
6,21,130,14
6,22,130,12
6,23,130,12
6,24,130,10
6,25,130,32
6,26,130,11
6,27,130,16
6,28,131,16
6,29,131,9
6,30,131,19
6,31,131,26
6,32,131,13
6,33,131,14
6,34,131,22
6,35,131,28
6,36,132,10
6,37,132,19
6,38,132,22
6,39,132,17
6,40,132,15
6,41,132,12
6,42,132,11
6,43,132,14
6,44,132,20
6,45,133,9
6,46,133,23
6,47,133,14
6,48,133,15
6,49,133,8
6,50,133,28
6,51,133,17
6,52,133,25
6,53,134,15
6,54,134,27
6,55,134,6
6,56,134,21
6,57,134,22
6,58,134,14
6,59,134,31
6,60,135,22
6,61,135,17
6,62,135,12
6,63,135,17
6,64,135,10
6,65,135,27
6,66,135,9
6,67,135,5
6,68,135,23
6,69,136,12
6,70,136,45
6,71,136,39
6,72,136,8
6,73,136,24
6,74,137,14
6,75,137,9
6,76,137,15
6,77,137,18
6,78,137,17
6,79,137,12
6,80,137,25
6,81,137,22
6,82,138,11
6,83,138,14
6,84,138,21
6,85,138,7
6,86,138,8
6,87,138,9
6,88,138,16
6,89,138,17
6,90,138,16
6,91,139,44
6,92,139,22
6,93,139,49
6,94,139,29
6,95,140,17
6,96,140,12
6,97,140,16
6,98,140,13
6,99,140,44
6,100,140,15
6,101,140,18
6,102,141,16
6,103,141,9
6,104,141,15
6,105,141,8
6,106,141,13
6,107,141,13
6,108,141,25
6,109,141,21
6,110,141,13
6,111,142,22
6,112,142,23
6,113,142,12
6,114,142,23
6,115,142,11
6,116,142,18
6,117,142,11
6,118,142,10
6,119,143,30
6,120,143,12
6,121,143,20
6,122,143,24
6,123,143,15
6,124,143,29
6,125,144,28
6,126,144,9
6,127,144,10
6,128,144,35
6,129,144,8
6,130,144,27
6,131,144,10
6,132,145,9
6,133,145,18
6,134,145,7
6,135,145,18
6,136,145,31
6,137,145,20
6,138,146,26
6,139,146,22
6,140,146,20
6,141,146,31
6,142,146,16
6,143,147,23
6,144,147,40
6,145,147,39
6,146,147,28
6,147,148,13
6,148,148,37
6,149,148,8
6,150,148,27
6,151,148,42
6,152,149,35
6,153,149,17
6,154,149,17
6,155,149,8
6,156,149,14
6,157,149,35
6,158,150,37
6,159,150,19
6,160,150,16
6,161,150,16
6,162,150,9
6,163,150,8
6,164,150,29
6,165,150,21
7,1,151,1
7,2,151,13
7,3,151,14
7,4,151,10
7,5,151,12
7,6,151,6
7,7,151,6
7,8,151,9
7,9,151,11
7,10,151,11
7,11,151,16
7,12,152,17
7,13,152,13
7,14,152,5
7,15,152,4
7,16,152,7
7,17,152,15
7,18,152,12
7,19,152,16
7,20,152,25
7,21,152,5
7,22,152,28
7,23,153,12
7,24,153,12
7,25,153,7
7,26,153,19
7,27,153,30
7,28,153,22
7,29,153,16
7,30,153,16
7,31,154,15
7,32,154,26
7,33,154,29
7,34,154,11
7,35,154,18
7,36,154,11
7,37,154,37
7,38,155,40
7,39,155,14
7,40,155,23
7,41,155,10
7,42,155,15
7,43,155,36
7,44,156,28
7,45,156,10
7,46,156,18
7,47,156,13
7,48,156,14
7,49,156,15
7,50,156,20
7,51,156,19
